x,y,100.321,101.479,102.634
26.0457,35.6641,5913.08,5924.47,6012.17
26.0457,32.0536,4096.53,4128.69,4176.06
26.0457,28.4431,3473.19,3525.58,3542.4
26.0457,24.8325,5471.2945,5539.1855,5579.113
26.0457,21.222,6301.5002,6386.8378,6427.4318
26.0457,17.6115,7131.7059,7234.4901,7275.7506
26.0457,14.0009,7961.9116,8082.1424,8124.0694
26.0457,10.3904,8792.1173,8929.7947,8972.3882
26.0457,6.77986,9622.323,9777.447,9820.707
26.0457,3.16932,5050.19,5100.36,5122.84
26.0457,-0.44121,13426,13538.1,13579.1
26.0457,-4.05174,5297.08,5348.36,5340.62
26.0457,-7.66228,8953.31,8991.47,9043.29
26.0457,-11.2728,2843.42,2881.69,2879.95
26.0457,-14.8833,4996.19,5025.47,5074.95
22.4277,35.6641,3439.19,3480.58,3519.28
22.4277,32.0536,2747.53,2748.69,2762.28
22.4277,28.4431,3009.53,3015.58,3059.06
22.4277,24.8325,2573.08,2605.36,2613.84
22.4277,21.222,2806.53,2831.36,2875.17
22.4277,17.6115,4174.08,4198.58,4254.51
22.4277,14.0009,4075.64,4084.25,4157.06
22.4277,10.3904,7035.53,7048.8,7116.29
22.4277,6.77986,3160.86,3189.58,3208.62
22.4277,3.16932,3546.19,3540.25,3617.73
22.4277,-0.44121,2882.19,2924.47,2946.17
22.4277,-4.05174,2662.75,2715.14,2731.73
22.4277,-7.66228,3132.08,3122.69,3163.06
22.4277,-11.2728,2597.64,2612.69,2656.95
22.4277,-14.8833,2452.64,2469.91,2502.51
18.8096,35.6641,2555.75,2553.8,2582.73
18.8096,32.0536,2130.64,2134.14,2139.95
18.8096,28.4431,2636.97,2664.25,2680.73
18.8096,24.8325,3160.64,3201.58,3207.06
18.8096,21.222,4183.97,4233.58,4249.51
18.8096,17.6115,4897.97,4911.69,4962.29
18.8096,14.0009,3087.19,3108.69,3124.4
18.8096,10.3904,4528.75,4558.14,4595.73
18.8096,6.77986,2931.08,2936.25,2984.62
18.8096,3.16932,3158.19,3158.36,3207.17
18.8096,-0.44121,3280.86,3270.47,3302.62
18.8096,-4.05174,2313.86,2326.36,2373.51
18.8096,-7.66228,2791.86,2790.36,2828.95
18.8096,-11.2728,3497.64,3562.14,3581.84
18.8096,-14.8833,3332.86,3376.69,3358.51
15.1916,35.6641,2745.08,2769.02,2784.06
15.1916,32.0536,2501.53,2545.47,2561.4
15.1916,28.4431,2212.86,2227.58,2263.06
15.1916,24.8325,3130.31,3138.8,3180.51
15.1916,21.222,4266.97,4307.91,4352.17
15.1916,17.6115,4134.19,4161.8,4172.29
15.1916,14.0009,2477.86,2504.25,2507.51
15.1916,10.3904,3541.19,3580.47,3620.62
15.1916,6.77986,2695.31,2742.14,2754.84
15.1916,3.16932,3174.86,3225.47,3242.62
15.1916,-0.44121,2838.19,2881.91,2875.73
15.1916,-4.05174,2612.42,2654.25,2675.62
15.1916,-7.66228,2307.42,2332.91,2344.95
15.1916,-11.2728,2745.86,2774.91,2835.06
15.1916,-14.8833,3482.08,3519.58,3559.17
11.5736,35.6641,2069.75,2075.14,2069.51
11.5736,32.0536,2415.53,2454.02,2462.17
11.5736,28.4431,2658.75,2681.02,2681.84
11.5736,24.8325,3306.53,3364.69,3354.28
11.5736,21.222,3221.08,3261.8,3283.95
11.5736,17.6115,4367.86,4387.8,4413.51
11.5736,14.0009,3568.31,3627.8,3641.4
11.5736,10.3904,2092.42,2123.8,2149.84
11.5736,6.77986,2733.75,2774.47,2768.17
11.5736,3.16932,3069.97,3113.25,3129.06
11.5736,-0.44121,2611.64,2639.58,2668.17
11.5736,-4.05174,3442.08,3462.8,3515.4
11.5736,-7.66228,3038.42,3054.47,3100.17
11.5736,-11.2728,2950.19,2951.36,2975.95
11.5736,-14.8833,3454.42,3486.25,3532.28
7.95558,35.6641,1574.19,1572.8,1601.95
7.95558,32.0536,2264.08,2278.58,2308.06
7.95558,28.4431,2530.64,2557.91,2586.51
7.95558,24.8325,2884.86,2898.25,2936.84
7.95558,21.222,2515.86,2510.69,2520.95
7.95558,17.6115,3780.31,3796.47,3843.95
7.95558,14.0009,4000.97,4028.47,4068.28
7.95558,10.3904,2254.42,2262.91,2256.84
7.95558,6.77986,2992.42,3003.69,3027.4
7.95558,3.16932,3226.42,3243.36,3274.28
7.95558,-0.44121,2928.64,2944.47,2981.51
7.95558,-4.05174,2562.97,2583.91,2603.17
7.95558,-7.66228,3146.31,3181.58,3213.51
7.95558,-11.2728,3175.64,3210.8,3244.06
7.95558,-14.8833,3005.53,3031.36,3060.06
4.33756,35.6641,1639.08,1645.58,1664.4
4.33756,32.0536,1687.31,1709.36,1719.84
4.33756,28.4431,1892.53,1914.8,1911.29
4.33756,24.8325,2196.97,2243.25,2239.95
4.33756,21.222,3690.53,3750.91,3756.73
4.33756,17.6115,3548.08,3562.36,3603.4
4.33756,14.0009,4879.86,4909.36,4973.4
4.33756,10.3904,3754.08,3773.02,3801.06
4.33756,6.77986,3134.31,3147.69,3156.95
4.33756,3.16932,2475.08,2482.25,2500.06
4.33756,-0.44121,2913.97,2920.58,2956.17
4.33756,-4.05174,3268.53,3302.91,3352.84
4.33756,-7.66228,2492.42,2506.02,2512.4
4.33756,-11.2728,3380.97,3394.25,3421.4
4.33756,-14.8833,2836.64,2844.47,2898.17
0.719544,35.6641,2182.19,2237.36,2213.4
0.719544,32.0536,2480.31,2515.14,2513.84
0.719544,28.4431,1678.53,1706.13,1706.51
0.719544,24.8325,2173.42,2189.58,2234.17
0.719544,21.222,2404.86,2437.58,2417.06
0.719544,17.6115,2269.19,2303.58,2288.62
0.719544,14.0009,2656.75,2657.47,2688.28
0.719544,10.3904,3562.97,3602.36,3584.51
0.719544,6.77986,4383.19,4420.25,4483.73
0.719544,3.16932,2367.97,2380.8,2407.62
0.719544,-0.44121,2808.64,2819.14,2830.62
0.719544,-4.05174,2784.31,2824.8,2849.95
0.719544,-7.66228,2632.31,2692.91,2708.62
0.719544,-11.2728,3370.64,3363.02,3349.28
0.719544,-14.8833,3601.64,3624.14,3672.73
-2.89847,35.6641,2489.31,2500.69,2525.06
-2.89847,32.0536,2312.08,2303.69,2341.51
-2.89847,28.4431,2088.53,2087.47,2111.17
-2.89847,24.8325,1884.42,1902.69,1929.51
-2.89847,21.222,1942.86,1976.69,1981.29
-2.89847,17.6115,1992.53,2002.8,2019.62
-2.89847,14.0009,3536.08,3538.69,3576.06
-2.89847,10.3904,4523.19,4608.8,4656.4
-2.89847,6.77986,2077.97,2087.91,2121.17
-2.89847,3.16932,2004.42,2013.91,2056.17
-2.89847,-0.44121,2661.97,2687.8,2707.06
-2.89847,-4.05174,3153.42,3189.25,3182.84
-2.89847,-7.66228,1934.75,1932.91,1950.73
-2.89847,-11.2728,3065.42,3076.25,3140.06
-2.89847,-14.8833,3400.97,3427.91,3446.4
-6.51649,35.6641,2359.19,2368.47,2390.51
-6.51649,32.0536,2317.08,2360.69,2369.73
-6.51649,28.4431,2229.86,2240.47,2288.73
-6.51649,24.8325,2073.64,2082.69,2084.51
-6.51649,21.222,1840.08,1863.8,1867.95
-6.51649,17.6115,1779.42,1782.91,1786.62
-6.51649,14.0009,2280.31,2332.36,2342.73
-6.51649,10.3904,2749.31,2779.8,2790.28
-6.51649,6.77986,1912.53,1941.36,1970.95
-6.51649,3.16932,1585.86,1605.25,1615.06
-6.51649,-0.44121,2205.42,2214.02,2243.62
-6.51649,-4.05174,3104.19,3159.02,3202.29
-6.51649,-7.66228,1361.19,1387.13,1399.29
-6.51649,-11.2728,2805.19,2812.25,2838.17
-6.51649,-14.8833,3703.08,3741.8,3763.06
